regNum;fullTitle;dept;dNum;titleString;day;time1;time2;credit;enrollment;available;max;distributions;distCode;distDescription;prerequisites
10006;CS 111 Computer Programming and Problem Solving;CS;111;Computer Programming and Problem Solving;MTh;08:30 am;09:40 am;1;14;12;10;;MM;Mathematical Modeling;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. No prior background with computers is expected. ;An introduction to problem solving through computer programming. Students learn how to read, modify, design, debug, and test algorithms that solve problems. Programming concepts include control structures, data structures, abstraction, recursion, modularity, and object-oriented design. Students explore these concepts in the context of interactive programs involving graphics and user interfaces using the Python programming language. Students are required to attend an additional two-hour laboratory section each week. Required for students who wish to major or minor in computer science or elect more advanced courses in the field.
10042;CS 111 Computer Programming and Problem Solving;CS;111;Computer Programming and Problem Solving;MTh;09:50 am;11:00 am;1;16;10;10;;MM;Mathematical Modeling;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. No prior background with computers is expected. ;An introduction to problem solving through computer programming. Students learn how to read, modify, design, debug, and test algorithms that solve problems. Programming concepts include control structures, data structures, abstraction, recursion, modularity, and object-oriented design. Students explore these concepts in the context of interactive programs involving graphics and user interfaces using the Python programming language. Students are required to attend an additional two-hour laboratory section each week. Required for students who wish to major or minor in computer science or elect more advanced courses in the field.
12882;CS 111 Computer Programming and Problem Solving;CS;111;Computer Programming and Problem Solving;MTh;11:10 am;12:20 pm;1;16;10;9;;MM;Mathematical Modeling;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. No prior background with computers is expected. ;An introduction to problem solving through computer programming. Students learn how to read, modify, design, debug, and test algorithms that solve problems. Programming concepts include control structures, data structures, abstraction, recursion, modularity, and object-oriented design. Students explore these concepts in the context of interactive programs involving graphics and user interfaces using the Python programming language. Students are required to attend an additional two-hour laboratory section each week. Required for students who wish to major or minor in computer science or elect more advanced courses in the field.
14183;CS 111 Computer Programming and Problem Solving;CS;111;Computer Programming and Problem Solving;MTh;01:30 pm;02:40 pm;1;13;13;10;;MM;Mathematical Modeling;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. No prior background with computers is expected. ;An introduction to problem solving through computer programming. Students learn how to read, modify, design, debug, and test algorithms that solve problems. Programming concepts include control structures, data structures, abstraction, recursion, modularity, and object-oriented design. Students explore these concepts in the context of interactive programs involving graphics and user interfaces using the Python programming language. Students are required to attend an additional two-hour laboratory section each week. Required for students who wish to major or minor in computer science or elect more advanced courses in the field.
10508;CS 111 Computer Programming and Problem Solving;CS;111;Computer Programming and Problem Solving;T;08:30 am;10:20 am;0;9;6;15;;MM;Mathematical Modeling;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. No prior background with computers is expected. ;An introduction to problem solving through computer programming. Students learn how to read, modify, design, debug, and test algorithms that solve problems. Programming concepts include control structures, data structures, abstraction, recursion, modularity, and object-oriented design. Students explore these concepts in the context of interactive programs involving graphics and user interfaces using the Python programming language. Students are required to attend an additional two-hour laboratory section each week. Required for students who wish to major or minor in computer science or elect more advanced courses in the field.
10509;CS 111 Computer Programming and Problem Solving;CS;111;Computer Programming and Problem Solving;T;10:30 am;12:20 pm;0;9;6;15;;MM;Mathematical Modeling;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. No prior background with computers is expected. ;An introduction to problem solving through computer programming. Students learn how to read, modify, design, debug, and test algorithms that solve problems. Programming concepts include control structures, data structures, abstraction, recursion, modularity, and object-oriented design. Students explore these concepts in the context of interactive programs involving graphics and user interfaces using the Python programming language. Students are required to attend an additional two-hour laboratory section each week. Required for students who wish to major or minor in computer science or elect more advanced courses in the field.
10510;CS 111 Computer Programming and Problem Solving;CS;111;Computer Programming and Problem Solving;T;10:30 am;12:20 pm;0;2;13;15;;MM;Mathematical Modeling;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. No prior background with computers is expected. ;An introduction to problem solving through computer programming. Students learn how to read, modify, design, debug, and test algorithms that solve problems. Programming concepts include control structures, data structures, abstraction, recursion, modularity, and object-oriented design. Students explore these concepts in the context of interactive programs involving graphics and user interfaces using the Python programming language. Students are required to attend an additional two-hour laboratory section each week. Required for students who wish to major or minor in computer science or elect more advanced courses in the field.
12086;CS 111 Computer Programming and Problem Solving;CS;111;Computer Programming and Problem Solving;T;01:30 pm;03:20 pm;0;15;0;15;;MM;Mathematical Modeling;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. No prior background with computers is expected. ;An introduction to problem solving through computer programming. Students learn how to read, modify, design, debug, and test algorithms that solve problems. Programming concepts include control structures, data structures, abstraction, recursion, modularity, and object-oriented design. Students explore these concepts in the context of interactive programs involving graphics and user interfaces using the Python programming language. Students are required to attend an additional two-hour laboratory section each week. Required for students who wish to major or minor in computer science or elect more advanced courses in the field.
12772;CS 111 Computer Programming and Problem Solving;CS;111;Computer Programming and Problem Solving;T;01:30 pm;03:20 pm;0;6;9;15;;MM;Mathematical Modeling;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. No prior background with computers is expected. ;An introduction to problem solving through computer programming. Students learn how to read, modify, design, debug, and test algorithms that solve problems. Programming concepts include control structures, data structures, abstraction, recursion, modularity, and object-oriented design. Students explore these concepts in the context of interactive programs involving graphics and user interfaces using the Python programming language. Students are required to attend an additional two-hour laboratory section each week. Required for students who wish to major or minor in computer science or elect more advanced courses in the field.
13303;CS 111 Computer Programming and Problem Solving;CS;111;Computer Programming and Problem Solving;W;10:30 am;12:20 pm;0;13;2;15;;MM;Mathematical Modeling;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. No prior background with computers is expected. ;An introduction to problem solving through computer programming. Students learn how to read, modify, design, debug, and test algorithms that solve problems. Programming concepts include control structures, data structures, abstraction, recursion, modularity, and object-oriented design. Students explore these concepts in the context of interactive programs involving graphics and user interfaces using the Python programming language. Students are required to attend an additional two-hour laboratory section each week. Required for students who wish to major or minor in computer science or elect more advanced courses in the field.
13817;CS 111 Computer Programming and Problem Solving;CS;111;Computer Programming and Problem Solving;W;02:15 pm;04:05 pm;0;5;10;15;;MM;Mathematical Modeling;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. No prior background with computers is expected. ;An introduction to problem solving through computer programming. Students learn how to read, modify, design, debug, and test algorithms that solve problems. Programming concepts include control structures, data structures, abstraction, recursion, modularity, and object-oriented design. Students explore these concepts in the context of interactive programs involving graphics and user interfaces using the Python programming language. Students are required to attend an additional two-hour laboratory section each week. Required for students who wish to major or minor in computer science or elect more advanced courses in the field.
14175;CS 115 Computing for the Socio-Techno Web;CS;115;Computing for the Socio-Techno Web;TF;09:50 am;11:00 am;1;22;2;24;;MM;Mathematical Modeling;None ;Technologies and services made available from Computer Science, such as online environments Facebook, Twitter, and Wikipedia, are integral in today's world. Many problems exist in our real world that transfer to and get amplified in the virtual world created by highly interconnected and ubiquitous computing. What are the basic technologies that enable all this innovation? How do these new environments affect our lives? This course aims to answer these questions through investigation of the socio-techno web.
On the technical side we study three languages: HTML5, CSS, and basic JavaScript. We interweave the technical with the social aspects by examining issues introduced by the use of the Social Web. In the process we learn how computers work.

14181;CS 115 Computing for the Socio-Techno Web;CS;115;Computing for the Socio-Techno Web;TF;11:10 am;12:20 pm;1;23;1;24;;MM;Mathematical Modeling;None ;Technologies and services made available from Computer Science, such as online environments Facebook, Twitter, and Wikipedia, are integral in today's world. Many problems exist in our real world that transfer to and get amplified in the virtual world created by highly interconnected and ubiquitous computing. What are the basic technologies that enable all this innovation? How do these new environments affect our lives? This course aims to answer these questions through investigation of the socio-techno web.
On the technical side we study three languages: HTML5, CSS, and basic JavaScript. We interweave the technical with the social aspects by examining issues introduced by the use of the Social Web. In the process we learn how computers work.

14197;CS 115 Computing for the Socio-Techno Web;CS;115;Computing for the Socio-Techno Web;Th;08:30 am;09:40 am;0;12;0;12;;MM;Mathematical Modeling;None ;Technologies and services made available from Computer Science, such as online environments Facebook, Twitter, and Wikipedia, are integral in today's world. Many problems exist in our real world that transfer to and get amplified in the virtual world created by highly interconnected and ubiquitous computing. What are the basic technologies that enable all this innovation? How do these new environments affect our lives? This course aims to answer these questions through investigation of the socio-techno web.
On the technical side we study three languages: HTML5, CSS, and basic JavaScript. We interweave the technical with the social aspects by examining issues introduced by the use of the Social Web. In the process we learn how computers work.

14198;CS 115 Computing for the Socio-Techno Web;CS;115;Computing for the Socio-Techno Web;Th;09:50 am;11:00 am;0;11;1;12;;MM;Mathematical Modeling;None ;Technologies and services made available from Computer Science, such as online environments Facebook, Twitter, and Wikipedia, are integral in today's world. Many problems exist in our real world that transfer to and get amplified in the virtual world created by highly interconnected and ubiquitous computing. What are the basic technologies that enable all this innovation? How do these new environments affect our lives? This course aims to answer these questions through investigation of the socio-techno web.
On the technical side we study three languages: HTML5, CSS, and basic JavaScript. We interweave the technical with the social aspects by examining issues introduced by the use of the Social Web. In the process we learn how computers work.

14199;CS 115 Computing for the Socio-Techno Web;CS;115;Computing for the Socio-Techno Web;Th;11:10 am;12:20 pm;0;12;0;12;;MM;Mathematical Modeling;None ;Technologies and services made available from Computer Science, such as online environments Facebook, Twitter, and Wikipedia, are integral in today's world. Many problems exist in our real world that transfer to and get amplified in the virtual world created by highly interconnected and ubiquitous computing. What are the basic technologies that enable all this innovation? How do these new environments affect our lives? This course aims to answer these questions through investigation of the socio-techno web.
On the technical side we study three languages: HTML5, CSS, and basic JavaScript. We interweave the technical with the social aspects by examining issues introduced by the use of the Social Web. In the process we learn how computers work.

14200;CS 115 Computing for the Socio-Techno Web;CS;115;Computing for the Socio-Techno Web;Th;01:30 pm;02:40 pm;0;10;2;12;;MM;Mathematical Modeling;None ;Technologies and services made available from Computer Science, such as online environments Facebook, Twitter, and Wikipedia, are integral in today's world. Many problems exist in our real world that transfer to and get amplified in the virtual world created by highly interconnected and ubiquitous computing. What are the basic technologies that enable all this innovation? How do these new environments affect our lives? This course aims to answer these questions through investigation of the socio-techno web.
On the technical side we study three languages: HTML5, CSS, and basic JavaScript. We interweave the technical with the social aspects by examining issues introduced by the use of the Social Web. In the process we learn how computers work.

14184;CS 220 Human-Computer Interaction;CS;220;Human-Computer Interaction;MTh;09:50 am;11:00 am;1;18;0;18;;MM;Mathematical Modeling;One of CS 110, CS 111, CS 112, CS 117 ;Human-Computer Interaction is one of the areas that have transformed the way we use computers in the last 30 years. Topics include methodology for designing and testing user interfaces, interaction styles (command line, menus, graphical user interfaces, virtual reality, tangible user interfaces), interaction techniques (including use of voice, gesture, eye movements), design guidelines, and user interface software tools. Students will design a user interface, program a prototype, and test the results for usability.
10062;CS 230 Data Structures;CS;230;Data Structures;TF;09:50 am;11:00 am;1;24;1;25;;MM;Mathematical Modeling;CS 111 or permission of the instructor. Students who received a grade of C or lower in CS 111 must contact the instructor before enrolling. ;An introduction to techniques and building blocks for organizing large programs. Topics include: modules, abstract data types, recursion, algorithmic efficiency, and the use and implementation of standard data structures and algorithms, such as lists, trees, graphs, stacks, queues, priority queues, tables, sorting, and searching. Students become familiar with these concepts through weekly programming assignments using the Java programming language. Students are required to attend an additional two-hour laboratory section each week.
12877;CS 230 Data Structures;CS;230;Data Structures;TF;11:10 am;12:20 pm;1;16;9;25;;MM;Mathematical Modeling;CS 111 or permission of the instructor. Students who received a grade of C or lower in CS 111 must contact the instructor before enrolling. ;An introduction to techniques and building blocks for organizing large programs. Topics include: modules, abstract data types, recursion, algorithmic efficiency, and the use and implementation of standard data structures and algorithms, such as lists, trees, graphs, stacks, queues, priority queues, tables, sorting, and searching. Students become familiar with these concepts through weekly programming assignments using the Java programming language. Students are required to attend an additional two-hour laboratory section each week.
14189;CS 230 Data Structures;CS;230;Data Structures;TF;01:30 pm;02:40 pm;1;17;8;25;;MM;Mathematical Modeling;CS 111 or permission of the instructor. Students who received a grade of C or lower in CS 111 must contact the instructor before enrolling. ;An introduction to techniques and building blocks for organizing large programs. Topics include: modules, abstract data types, recursion, algorithmic efficiency, and the use and implementation of standard data structures and algorithms, such as lists, trees, graphs, stacks, queues, priority queues, tables, sorting, and searching. Students become familiar with these concepts through weekly programming assignments using the Java programming language. Students are required to attend an additional two-hour laboratory section each week.
10788;CS 230 Data Structures;CS;230;Data Structures;W;08:30 am;10:20 am;0;15;0;15;;MM;Mathematical Modeling;CS 111 or permission of the instructor. Students who received a grade of C or lower in CS 111 must contact the instructor before enrolling. ;An introduction to techniques and building blocks for organizing large programs. Topics include: modules, abstract data types, recursion, algorithmic efficiency, and the use and implementation of standard data structures and algorithms, such as lists, trees, graphs, stacks, queues, priority queues, tables, sorting, and searching. Students become familiar with these concepts through weekly programming assignments using the Java programming language. Students are required to attend an additional two-hour laboratory section each week.
10789;CS 230 Data Structures;CS;230;Data Structures;W;08:30 am;10:20 am;0;1;14;15;;MM;Mathematical Modeling;CS 111 or permission of the instructor. Students who received a grade of C or lower in CS 111 must contact the instructor before enrolling. ;An introduction to techniques and building blocks for organizing large programs. Topics include: modules, abstract data types, recursion, algorithmic efficiency, and the use and implementation of standard data structures and algorithms, such as lists, trees, graphs, stacks, queues, priority queues, tables, sorting, and searching. Students become familiar with these concepts through weekly programming assignments using the Java programming language. Students are required to attend an additional two-hour laboratory section each week.
12299;CS 230 Data Structures;CS;230;Data Structures;W;10:30 am;12:20 pm;0;15;0;15;;MM;Mathematical Modeling;CS 111 or permission of the instructor. Students who received a grade of C or lower in CS 111 must contact the instructor before enrolling. ;An introduction to techniques and building blocks for organizing large programs. Topics include: modules, abstract data types, recursion, algorithmic efficiency, and the use and implementation of standard data structures and algorithms, such as lists, trees, graphs, stacks, queues, priority queues, tables, sorting, and searching. Students become familiar with these concepts through weekly programming assignments using the Java programming language. Students are required to attend an additional two-hour laboratory section each week.
13304;CS 230 Data Structures;CS;230;Data Structures;W;10:30 am;12:20 pm;0;10;5;15;;MM;Mathematical Modeling;CS 111 or permission of the instructor. Students who received a grade of C or lower in CS 111 must contact the instructor before enrolling. ;An introduction to techniques and building blocks for organizing large programs. Topics include: modules, abstract data types, recursion, algorithmic efficiency, and the use and implementation of standard data structures and algorithms, such as lists, trees, graphs, stacks, queues, priority queues, tables, sorting, and searching. Students become familiar with these concepts through weekly programming assignments using the Java programming language. Students are required to attend an additional two-hour laboratory section each week.
14190;CS 230 Data Structures;CS;230;Data Structures;W;02:15 pm;04:05 pm;0;16;0;15;;MM;Mathematical Modeling;CS 111 or permission of the instructor. Students who received a grade of C or lower in CS 111 must contact the instructor before enrolling. ;An introduction to techniques and building blocks for organizing large programs. Topics include: modules, abstract data types, recursion, algorithmic efficiency, and the use and implementation of standard data structures and algorithms, such as lists, trees, graphs, stacks, queues, priority queues, tables, sorting, and searching. Students become familiar with these concepts through weekly programming assignments using the Java programming language. Students are required to attend an additional two-hour laboratory section each week.
13153;CS 231 Fundamental Algorithms;CS;231;Fundamental Algorithms;MTh;01:30 pm;02:40 pm;1;25;0;25;;MM;Mathematical Modeling;CS 230 and either MATH 225 or permission of the instructor. ;An introduction to the design and analysis of fundamental algorithms. General techniques covered: divide-and-conquer algorithms, dynamic programming, greediness, probabilistic algorithms. Topics include: sorting, searching, graph algorithms, compression, cryptography, computational geometry, and NP-completeness.
14185;CS 231 Fundamental Algorithms;CS;231;Fundamental Algorithms;MTh;02:50 pm;04:00 pm;1;14;11;25;;MM;Mathematical Modeling;CS 230 and either MATH 225 or permission of the instructor. ;An introduction to the design and analysis of fundamental algorithms. General techniques covered: divide-and-conquer algorithms, dynamic programming, greediness, probabilistic algorithms. Topics include: sorting, searching, graph algorithms, compression, cryptography, computational geometry, and NP-completeness.
10859;CS 235 Languages and Automata;CS;235;Languages and Automata;MTh;11:10 am;12:20 pm;1;24;1;25;;MM;Mathematical Modeling;CS 230 and either MATH 225 or permission of the instructor. ;This course offers an introduction to the concepts of languages and automata. Topics include languages, regular expressions, finite automata, grammars, pushdown automata, and Turing machines. The first half of the semester covers the Chomsky hierarchy of languages and their associated computational models. The second half of the semester focuses on decidability issues and unsolvable problems. The course closes with a brief introduction to complexity theory.
13275;CS 240 Introduction to Machine Organization with Laboratory;CS;240;Introduction to Machine Organization with Laboratory;MTh;09:50 am;11:00 am;1.25;23;1;24;;MM;Mathematical Modeling;CS 111, CS 112, or permission of instructor. ;This course examines how modern computer systems run programs, introducing key software and hardware abstractions between high-level programming languages and hardware circuits. The course traces themes of data representation and program translation, with a focus on how each level of abstraction (and its implementation) in a computer system impacts the execution of a high-level program. Topics include the C programming language, basic concepts of program compilation and assembly, machine code, instruction set architecture, basic microarchitecture, number representation and computer arithmetic, digital logic, the memory hierarchy, the operating system process model, virtual memory, and memory management. Students explore computer systems through projects ranging from simple hardware circuits to software memory allocators. Students are required to attend one three-hour laboratory weekly.
14191;CS 240 Introduction to Machine Organization with Laboratory;CS;240;Introduction to Machine Organization with Laboratory;MTh;11:10 am;12:20 pm;1.25;24;0;24;;MM;Mathematical Modeling;CS 111, CS 112, or permission of instructor. ;This course examines how modern computer systems run programs, introducing key software and hardware abstractions between high-level programming languages and hardware circuits. The course traces themes of data representation and program translation, with a focus on how each level of abstraction (and its implementation) in a computer system impacts the execution of a high-level program. Topics include the C programming language, basic concepts of program compilation and assembly, machine code, instruction set architecture, basic microarchitecture, number representation and computer arithmetic, digital logic, the memory hierarchy, the operating system process model, virtual memory, and memory management. Students explore computer systems through projects ranging from simple hardware circuits to software memory allocators. Students are required to attend one three-hour laboratory weekly.
10026;CS 240 Introduction to Machine Organization with Laboratory;CS;240;Introduction to Machine Organization with Laboratory;T;08:30 am;11:30 am;0;11;1;12;;MM;Mathematical Modeling;CS 111, CS 112, or permission of instructor. ;This course examines how modern computer systems run programs, introducing key software and hardware abstractions between high-level programming languages and hardware circuits. The course traces themes of data representation and program translation, with a focus on how each level of abstraction (and its implementation) in a computer system impacts the execution of a high-level program. Topics include the C programming language, basic concepts of program compilation and assembly, machine code, instruction set architecture, basic microarchitecture, number representation and computer arithmetic, digital logic, the memory hierarchy, the operating system process model, virtual memory, and memory management. Students explore computer systems through projects ranging from simple hardware circuits to software memory allocators. Students are required to attend one three-hour laboratory weekly.
10878;CS 240 Introduction to Machine Organization with Laboratory;CS;240;Introduction to Machine Organization with Laboratory;T;01:30 pm;04:30 pm;0;12;0;12;;MM;Mathematical Modeling;CS 111, CS 112, or permission of instructor. ;This course examines how modern computer systems run programs, introducing key software and hardware abstractions between high-level programming languages and hardware circuits. The course traces themes of data representation and program translation, with a focus on how each level of abstraction (and its implementation) in a computer system impacts the execution of a high-level program. Topics include the C programming language, basic concepts of program compilation and assembly, machine code, instruction set architecture, basic microarchitecture, number representation and computer arithmetic, digital logic, the memory hierarchy, the operating system process model, virtual memory, and memory management. Students explore computer systems through projects ranging from simple hardware circuits to software memory allocators. Students are required to attend one three-hour laboratory weekly.
14192;CS 240 Introduction to Machine Organization with Laboratory;CS;240;Introduction to Machine Organization with Laboratory;W;02:15 pm;05:15 pm;0;12;0;12;;MM;Mathematical Modeling;CS 111, CS 112, or permission of instructor. ;This course examines how modern computer systems run programs, introducing key software and hardware abstractions between high-level programming languages and hardware circuits. The course traces themes of data representation and program translation, with a focus on how each level of abstraction (and its implementation) in a computer system impacts the execution of a high-level program. Topics include the C programming language, basic concepts of program compilation and assembly, machine code, instruction set architecture, basic microarchitecture, number representation and computer arithmetic, digital logic, the memory hierarchy, the operating system process model, virtual memory, and memory management. Students explore computer systems through projects ranging from simple hardware circuits to software memory allocators. Students are required to attend one three-hour laboratory weekly.
14193;CS 240 Introduction to Machine Organization with Laboratory;CS;240;Introduction to Machine Organization with Laboratory;W;05:30 pm;08:30 pm;0;12;0;12;;MM;Mathematical Modeling;CS 111, CS 112, or permission of instructor. ;This course examines how modern computer systems run programs, introducing key software and hardware abstractions between high-level programming languages and hardware circuits. The course traces themes of data representation and program translation, with a focus on how each level of abstraction (and its implementation) in a computer system impacts the execution of a high-level program. Topics include the C programming language, basic concepts of program compilation and assembly, machine code, instruction set architecture, basic microarchitecture, number representation and computer arithmetic, digital logic, the memory hierarchy, the operating system process model, virtual memory, and memory management. Students explore computer systems through projects ranging from simple hardware circuits to software memory allocators. Students are required to attend one three-hour laboratory weekly.
14186;CS 249 Topics in Computer Sciences;CS;249;Topics in Computer Sciences;MTh;02:50 pm;04:00 pm;1;13;5;18;;MM;Mathematical Modeling;CS 230 or permission of the instructor ;
13625;CS 251 Theory of Programming Languages;CS;251;Theory of Programming Languages;TWF;11:10 am;12:20 pm;1;18;7;25;;MM;Mathematical Modeling;CS 230 or permission of the instructor. ;This course introduces principles underlying the design, semantics, and implementation of modern programming languages in major paradigms including function-oriented, imperative, and object-oriented. The course examines: language dimensions including syntax, naming, state, data, control, types, abstraction, modularity, and extensibility| issues in the runtime representation and implementation of programming languages| and the expression and management of parallelism and concurrency. Students explore course topics via programming exercises in several languages, including the development of programming language interpreters.
14187;CS 304 Databases with Web Interfaces;CS;304;Databases with Web Interfaces;TF;09:50 am;11:00 am;1;26;0;25;;MM;Mathematical Modeling;CS 230 or permission of the instructor. ;A study of the three-layer architecture commonly used for Web-based applications such as e-commerce sites. We will learn to model and design databases using entity-relationship diagrams and the Standard Query Language (SQL) for managing databases. We will learn PHP, CGI/Python, and Java Servlets, which are three important technologies for Web-based architectures. We will also discuss performance, reliability, and security issues. Finally, we will create dynamic websites driven by database entries.
12670;CS 307 Computer Graphics;CS;307;Computer Graphics;TF;01:30 pm;02:40 pm;1;23;2;25;;MM;Mathematical Modeling;CS 230 or permission of the instructor. ;A survey of topics in computer graphics with an emphasis on fundamental techniques. Topics include: graphics hardware, fundamentals of three-dimensional graphics including modeling, projection, coordinate transformation, synthetic camera specification, color, lighting, shading, hidden surface removal, animation, and texture-mapping. We also cover the mathematical representation and programming specification of lines, planes, curves, and surfaces.
14188;CS 310 Foundations of Cryptology;CS;310;Foundations of Cryptology;MTh;08:30 am;09:40 am;1;10;15;25;;MM;Mathematical Modeling;CS 231 or CS 235 or permission of the instructor. ;When is a cryptographic system secure and how will we ever know? This course introduces the computational models and theory computer scientists use to address these issues. Topics include one-way functions, trapdoor functions, probabilistic complexity classes, pseudorandom generators, interactive proof systems, zero-knowledge proofs, and the application of these theories to modern cryptology.
12671;CS 320 Tangible User Interfaces;CS;320;Tangible User Interfaces;MTh;01:30 pm;02:40 pm;1;18;0;18;;MM;Mathematical Modeling;CS 215, CS 220, or CS 230, or permission of the instructor.;Tangible user interfaces emerge as a novel human-computer interaction style that interlinks the physical and digital worlds. Extending beyond the limitations of the computer mouse, keyboard, and monitor, tangible user interfaces allow users to take advantage of their natural spatial skills while supporting collaborative work. Students will be introduced to conceptual frameworks, the latest research, and a variety of techniques for designing and building these interfaces. Developing tangible interfaces requires creativity as well as an interdisciplinary perspective. Hence, students will work in teams to design, prototype, and physically build tangible user interfaces.
13340;CS 322 Seminar: Learning and Teaching in a Digital World;CS;322;Seminar: Learning and Teaching in a Digital World;T;09:50 am;12:20 pm;1;3;11;14;;EC;Epistemology and Cognition;Permission of the instructor and one of EDUC 110, EDUC 215, or EDUC 216 ;
14194;CS 332 Visual Processing by Computer and Biological Vision Systems;CS;332;Visual Processing by Computer and Biological Vision Systems;TF;W;08:30 am;1;17;8;25;;MM;Mathematical Modeling;CS 112 or CS 230, or permission of the instructor. ;This course explores methods for deriving information about the three-dimensional world from visual images and using this information for tasks such as recognizing objects and events, navigating through a dynamic scene, and communicating between social agents. We use an interdisciplinary approach that combines computer science, psychology, and neuroscience, facilitating the design of effective computer vision systems while contributing to an understanding of human visual processing and how it is carried out in the brain. Topics include edge detection, stereo vision, motion analysis, the analysis of color, object and face recognition, activity recognition, visual attention and search, and image processing applications in medicine, security, information retrieval, and mobile robotics. The course uses vision software written in MATLAB.
13773;EALC 236 The Girl in Modern East Asian Culture (In English);EALC;236;The Girl in Modern East Asian Culture (In English);TF;01:30 pm;02:40 pm;1;25;0;25;;ARS;LL;None ;In East Asia, the rise of the girl in literary and popular culture coincides with the appearance of modernity itself.&nbsp| Beginning with the &lsquo|modern girl,&rsquo| we move chronologically, exploring coming-of-age tropes in East Asian fiction, manga, anime, and film. How does the objectification of the adolescent girl illuminate issues around ethnicity, national identity, sexuality, even globalization? What national anxieties hover around girls&rsquo| bodies? We read texts in English translation and explore models of female development that might aid us in our exploration of this cultural phenomenon. Secondary readings include works by Sigmund Freud, Julia Kristeva, Marianne Hirsch, Carol Gilligan, Elizabeth Grosz, among others.
10012;ECON 101 Principles of Microeconomics;ECON;101;Principles of Microeconomics;MTh;W1;08:30 am;1;12;21;10;;SBA;Social and Behavioral Analysis;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. ;This first course in economics introduces students to the market system. Microeconomics considers the decisions of households and firms about what to consume and what to produce, and the efficiency and equity of market outcomes. Supply and demand analysis is developed and applied. Policy issues include price floors and ceilings, competition and monopoly, income distribution, and the role of government in a market economy.
10088;ECON 101 Principles of Microeconomics;ECON;101;Principles of Microeconomics;MTh;W1;09:50 am;1;12;21;10;;SBA;Social and Behavioral Analysis;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. ;This first course in economics introduces students to the market system. Microeconomics considers the decisions of households and firms about what to consume and what to produce, and the efficiency and equity of market outcomes. Supply and demand analysis is developed and applied. Policy issues include price floors and ceilings, competition and monopoly, income distribution, and the role of government in a market economy.
13430;ECON 101 Principles of Microeconomics;ECON;101;Principles of Microeconomics;MTh;W1;02:50 pm;1;11;22;10;;SBA;Social and Behavioral Analysis;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. ;This first course in economics introduces students to the market system. Microeconomics considers the decisions of households and firms about what to consume and what to produce, and the efficiency and equity of market outcomes. Supply and demand analysis is developed and applied. Policy issues include price floors and ceilings, competition and monopoly, income distribution, and the role of government in a market economy.
10947;ECON 101 Principles of Microeconomics;ECON;101;Principles of Microeconomics;TF;W2;08:30 am;1;7;26;10;;SBA;Social and Behavioral Analysis;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. ;This first course in economics introduces students to the market system. Microeconomics considers the decisions of households and firms about what to consume and what to produce, and the efficiency and equity of market outcomes. Supply and demand analysis is developed and applied. Policy issues include price floors and ceilings, competition and monopoly, income distribution, and the role of government in a market economy.
13431;ECON 101 Principles of Microeconomics;ECON;101;Principles of Microeconomics;TF;W2;09:50 am;1;7;26;10;;SBA;Social and Behavioral Analysis;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. ;This first course in economics introduces students to the market system. Microeconomics considers the decisions of households and firms about what to consume and what to produce, and the efficiency and equity of market outcomes. Supply and demand analysis is developed and applied. Policy issues include price floors and ceilings, competition and monopoly, income distribution, and the role of government in a market economy.
10083;ECON 102 Principles of Macroeconomics;ECON;102;Principles of Macroeconomics;MTh;W;01:30 pm;1;30;3;33;;SBA;Social and Behavioral Analysis;ECON 101. Fulfillment of the basic skills component of the Quantitative Reasoning requirement. ;This course follows ECON 101 and analyzes the aggregate dimensions of a market-based economy. Topics include the measurement of national income, economic growth, unemployment, inflation, business cycles, the balance of payments, and exchange rates. The impact of government monetary and fiscal policies is considered.
10033;ECON 102 Principles of Macroeconomics;ECON;102;Principles of Macroeconomics;TF;W2;01:30 pm;1;21;12;33;;SBA;Social and Behavioral Analysis;ECON 101. Fulfillment of the basic skills component of the Quantitative Reasoning requirement. ;This course follows ECON 101 and analyzes the aggregate dimensions of a market-based economy. Topics include the measurement of national income, economic growth, unemployment, inflation, business cycles, the balance of payments, and exchange rates. The impact of government monetary and fiscal policies is considered.
